Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE
3/10/2021,319.5,324.45,316.7,315.2,321.75,321.45,321.13,357,63.5,58643853,18832196592.95
3/12/2021,325.05,326.5,314.15,321.45,317.45,317.55,320.29,357,63.5,48360842,15489475023.45
3/15/2021,320,320.4,310.05,317.55,318.2,318.55,314.73,357,63.5,45083228,14188906470.40
3/16/2021,321,321.9,315.1,318.55,319,319.95,318.53,357,63.5,39267404,12507925887.45
3/17/2021,318.6,320,304,319.95,305.5,305.8,312.19,357,63.5,47262481,14755101722.35
3/18/2021,311,316.6,299.75,305.8,308,307,309.64,357,63.5,73731921,22830626649.15
3/19/2021,303.5,311,290.2,307,308.2,308.95,302.07,357,63.5,109932681,33207043605.15
3/22/2021,306.45,307.5,300.1,308.95,302.85,303.05,303.74,357,63.5,56385019,17126178093.25
3/23/2021,305,312.25,304,303.05,306.9,307.4,308.61,357,63.5,60240483,18590765503.80
3/24/2021,303.55,305,293.2,307.4,294.75,294.45,299.54,357,63.5,61523819,18429097083.30
3/25/2021,294,294,282.25,294.45,286,285.55,287.04,357,63.5,84528317,24262713318.75
3/26/2021,290.5,301.4,290.5,285.55,296.75,296.4,296.4,357,63.5,80924011,23985534796.25
3/30/2021,300.5,301.3,292.7,296.4,297.05,297.05,296.64,357,64.8,45257627,13425325715.15
3/31/2021,299,307.5,297.5,297.05,301.45,301.8,303.68,357,64.8,58569012,17786399693.80
4/1/2021,306.75,309.85,303.05,301.8,307.25,307.75,306.29,357,64.8,44088352,13503816549.80
4/5/2021,306.8,311.7,297.2,307.75,305.5,305.05,304.12,357,65.4,66178755,20126169223.85
4/6/2021,306.15,313.8,304.8,305.05,308,307.75,309.29,357,65.4,63031783,19495030379.85
4/7/2021,306.75,310.65,305.1,307.75,307.65,307.8,308.53,357,65.4,39073986,12055353692.30
4/8/2021,307.9,319.8,307.5,307.8,314,313.95,315.34,357,65.4,62459774,19696335826.85
4/9/2021,313.2,325,312.5,313.95,317.55,318.2,320.77,357,65.4,75462572,24205900606.15
4/12/2021,307.85,307.85,282.9,318.2,287.5,286.55,292.83,357,71,105342538,30847255981.55
4/13/2021,287.25,304.55,280.55,286.55,302,302.85,293.11,357,71,116874853,34256650888.30
4/15/2021,303,307.55,296.5,302.85,302.2,303.5,301.87,357,71,75262749,22719453457.45
4/16/2021,302,315,300.15,303.5,308.75,310,310.71,357,71,75330709,23406077563.15
4/19/2021,295,304.5,292.8,310,301.7,301.4,299.92,357,72.55,65791784,19732092260.55
