Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE
3/9/2023,439.1,442.05,431.3,439.3,432.45,432.2,435.16,494.4,366.2,5696737,"2,479,000,288.75"
3/8/2023,439,441.25,436.1,440.1,439.2,439.3,438.57,494.4,366.2,7850052,"3,442,758,562.70"
3/6/2023,430.95,441.45,430,428,440.5,440.1,437.38,494.4,366.2,11307064,"4,945,464,572.30"
3/3/2023,422.6,430.5,421.95,420.45,427.85,428,426.38,494.4,366.2,8027522,"3,422,737,474.30"
3/2/2023,426,426.25,419.55,426,420.8,420.45,422.29,494.4,366.2,5661103,"2,390,619,755.30"
3/1/2023,421.5,428,421.5,420.7,426.1,426,425.74,494.4,366.2,7595114,"3,233,560,212.05"
2/28/2023,419,424.8,419,417.95,420.65,420.7,421.85,494.4,366.2,9652088,"4,071,686,157.50"
2/27/2023,427.75,428.05,413.05,427.75,418.55,417.95,418.13,494.4,366.2,10438928,"4,364,809,298.30"
2/24/2023,435.4,436.7,427,433.2,427.4,427.75,429.41,500.4,366.2,7895024,"3,390,173,527.20"
2/23/2023,428.65,436.45,427.2,429.45,435,433.2,432.39,500.4,366.2,9278920,"4,012,130,316.60"
2/22/2023,435.3,435.85,428.25,436.5,428.8,429.45,431.2,500.4,366.2,7209130,"3,108,542,015.10"
2/21/2023,445.2,445.2,435.25,443,436.2,436.5,440.11,500.4,366.2,8957930,"3,942,499,886.25"
2/20/2023,441.8,445.3,436.25,439.9,442.15,443,441.37,500.4,366.2,9717197,"4,288,869,342.40"
2/17/2023,436,442.45,436,441.6,439.6,439.9,440.3,511.5,366.2,6955445,"3,062,455,950.25"
2/16/2023,445,448.25,440.5,444.15,440.85,441.6,443.43,511.5,366.2,7670688,"3,401,448,898.50"
2/15/2023,438.5,444.9,438.15,440.55,443.65,444.15,441.35,511.5,366.2,9857016,"4,350,353,618.35"
2/14/2023,442,444.3,434.4,441.05,440.8,440.55,439.74,511.5,366.2,8565559,"3,766,584,785.50"
2/13/2023,445.5,446.9,438.9,445.85,441,441.05,441.95,511.5,366.2,8333767,"3,683,146,606.05"
2/10/2023,437.95,447.8,431.2,436.75,444.4,445.85,440.73,511.5,366.2,14798390,"6,522,076,821.95"
2/9/2023,440,440.7,433.55,440.1,436.8,436.75,436.02,511.5,366.2,7349418,"3,204,465,989.70"
2/8/2023,435.45,441,431.55,435.45,440.05,440.1,437.21,511.5,366.2,8668267,"3,789,895,025.35"
2/7/2023,441.7,443.4,432.9,442,435.3,435.45,436.64,511.5,366.2,9023645,"3,940,063,886.30"
2/6/2023,444.45,447,439.55,445.45,441.7,442,442.71,511.5,366.2,6795084,"3,008,254,384.10"
2/3/2023,447,450.8,442.35,444.8,444.75,445.45,445.83,520,366.2,13067403,"5,825,882,651.35"
2/2/2023,446.75,449.2,440.7,446.65,444.4,444.8,444.35,520,366.2,11344554,"5,041,005,372.05"
2/1/2023,456.8,461.5,437.65,452.1,446.35,446.65,452.16,520,366.2,23798589,"10,760,685,912.05"
1/31/2023,443.7,454.8,440.9,443.65,451.5,452.1,450.19,520,366.2,25154475,"11,324,204,933.50"
1/30/2023,445.6,450,437.65,445.6,443.55,443.65,443.81,520,366.2,18316743,"8,129,180,071.90"
1/27/2023,438,453.4,435.15,419.05,445.25,445.6,444.86,520,366.2,63360467,"28,186,509,532.55"
